,Alpha_o_7DAYMADRS_corr,Alpha_s_7DAYMADRS_corr,Beta_o_7DAYMADRS_corr,Beta_s_7DAYMADRS_corr,Gamma_o_7DAYMADRS_corr,Gamma_s_7DAYMADRS_corr,Theta_o_7DAYMADRS_corr,Theta_s_7DAYMADRS_corr
169,0.120293419,0.106864935,0.048713912,0.113819631,0.07727255,0.084689515,0.053924502,0.032957431
170,0.000115259,0.109166483,0.047928135,0.09743608,0.002448323,0.066485376,0.008139926,0.031025587
171,0.03488041,0.042866557,0.007191058,0.069407254,0.000364911,0.043851533,0.021324109,0.006064877
172,0.201377389,0.242222859,0.085125566,0.223289963,0.042816598,0.193832066,0.114150281,0.099664758
173,0.002712785,0.042116514,0.011797474,0.094871067,0.064594824,0.083391761,0.030767807,0.031485971
174,0.000478874,0.148924238,0.013772349,0.06687126,0.014677149,0.030732044,0.003334342,0.102448717
175,0.010970832,0.08666752,0.046438361,0.166041134,0.098724824,0.089775144,4.77E-08,0.084897482
176,0.024366919,0.002496718,0.016420338,0.000766231,0.013520717,0.007019147,0.005820229,0.001544837
177,0.142614897,0.049200706,0.027649993,0.011475837,0.000522316,0.008069197,0.070425326,0.052660083
178,0.075119045,0.144347148,0.0010172,0.218631513,0.008120223,0.174846982,0.030334799,0.139083483
179,0.154460573,0.016665449,0.046917873,3.68E-05,0.0058747,0.00220709,0.062866925,0.066231082
180,0.014285837,0.095869609,0.017472193,0.027099877,0.093712633,0.00177974,0.064761788,0.008461027
181,0.019527356,0.001093076,0.05466315,0.000297055,0.119405446,0.004535164,0.057749979,0.007640586
182,0.028475316,0.000269666,0.10017504,0.067731921,0.198763143,0.009456,0.042784588,0.000162882
183,0.017273328,0.000991769,0.000840336,0.001198145,0.045587189,0.016767333,0.005903046,5.53E-05
184,0.062803974,0.081854965,0.011991102,0.115292184,0.069322079,0.03930953,0.048146367,0.059030058
185,0.021927097,0.001767707,0.016081196,0.048523247,0.014748095,0.000495807,0.031495048,0.000313785
186,3.56E-05,4.65E-05,0.004880564,0.002647525,0.167720951,0.003688706,4.32E-05,0.006807187
187,0.008687005,0.01735578,0.018226642,0.034739464,0.080476017,0.018111477,0.002744844,0.001583443
188,0.018580228,0.010455332,0.012815958,0.06322268,0.015522466,0.034703777,0.021188773,0.004666565
189,0.030368466,7.38E-07,0.014527979,0.001960244,0.071794795,0.008273311,0.012272383,0.03473177
190,0.057916477,0.000192912,0.055478423,0.015859299,0.067006345,0.031453174,0.07550707,0.052215862
191,0.000261916,0.110063782,0.012812983,0.049201733,0.089209971,0.020166821,0.001256643,0.028462985
192,0.031254679,0.10137137,0.097929624,0.093999911,0.092540223,0.053740397,0.039739226,0.037285492
193,0.147100702,0.015295146,0.131958084,0.012056053,0.008297784,0.002408012,0.16344158,4.53E-06
194,0.004226911,0.021943812,0.043657496,0.04181604,0.077763643,0.011379686,0.001395759,0.002191963
195,0.103305539,2.22E-05,0.10376703,0.001238647,0.003442554,0.00055013,0.082195826,0.008148289
196,0.054291217,0.003188272,0.064936358,0.00858123,0.006658674,0.011658129,0.046158737,0.000446443
197,0.08181308,0.049973123,0.159019446,0.062284427,0.144813535,0.032394533,0.052829166,0.021053845
198,0.114469948,0.007171256,0.105751778,0.002048386,0.008428996,0.000528847,0.067627719,0.004403764
199,0.057726241,0.057554292,0.066471523,0.051187723,0.050874959,0.002528171,0.048177468,0.002558504
200,0.085877732,0.01080215,0.12026241,0.02900895,0.112640902,0.023201923,0.074348134,0.06524152
201,0.386376698,0.0198418,0.301879592,0.050288657,0.023420492,0.084378462,0.442649724,0.072329719
202,0.050953947,8.14E-05,0.006457975,0.004091258,0.015632887,0.015839514,0.037462379,0.032917851
203,0.015201266,0.000921687,0.021541066,0.014838769,0.016387338,0.006840048,0.015267928,0.023772773
204,0.000768157,0.003397982,0.001371698,0.004750043,0.046283781,0.000130148,0.00135343,0.02545988
205,0.006826836,0.006847847,0.036328993,0.00929342,0.027183717,0.007511638,0.004396618,0.004179645
206,0.000248198,0.0014106,0.008692341,0.003266951,0.049424504,0.001182463,0.007455329,0.04985831
207,0.02270557,0.032924745,0.078458582,0.043958515,0.171831158,0.042568783,0.05392577,0.050372147
208,0.040096597,0.074048723,0.001666339,0.125441913,0.011855275,0.024147252,0.0478363,0.049517454
209,0.081116721,0.000420695,0.016425968,0.053639194,0.001178663,0.012591717,0.024141803,0.004155175
210,0.098556795,1.22E-05,0.0862114,0.000190811,0.021809457,0.000942227,0.017488009,0.00514546
211,0.00355175,0.065763486,0.007818642,0.104631213,0.009618087,0.165142424,0.000314936,0.083334338
212,0.129162556,1.88E-05,0.054775172,0.03787119,0.012930248,0.028840646,0.044015619,0.001440392
213,0.018978953,0.005271546,1.31E-06,0.00566136,0.002445241,0.03065543,0.028454938,0.003013907
214,0.068398208,0.012842877,0.014194181,0.002488527,0.003537852,0.006803729,0.065666875,0.050092021
215,0.032284264,0.06376467,0.144173707,0.008674751,0.08214789,0.007157747,0.067124408,0.173346712
216,0.038743804,0.065118034,0.032598432,0.066494942,0.013370216,0.017252733,0.045685655,0.129677627
217,0.05144532,0.002324658,0.035554886,0.028774428,0.000292075,0.062832835,0.053015081,5.82E-05
218,0.005250936,3.58E-05,0.111447507,0.019019994,0.086361724,0.040581288,0.018670064,0.00423096
219,0.020311586,0.041511752,0.044593863,0.131976978,1.07E-05,0.074368896,0.025446732,0.199068744
220,0.124382798,0.022333736,0.130938522,0.065384293,0.034753288,0.002303377,0.134660646,0.001292597
221,0.07901482,0.009717581,0.052940974,0.00035428,3.30E-05,0.00013037,0.053321726,0.01619894
222,0.217178903,0.050832658,0.188061558,0.052130076,0.174132338,0.035298674,0.198090186,0.023506279
223,0.23792803,0.090828924,0.253091196,0.131625167,0.126922409,0.083180529,0.209440808,0.063463865
224,0.216458044,0.006039174,0.11846666,0.007718941,0.01212663,1.23E-05,0.192777411,0.012667726
225,0.008560872,0.027306693,0.052301124,0.044658829,0.018371697,0.010106493,0.006734501,0.004631555
226,0.003203184,0.00136263,0.01429694,0.014424298,0.037535749,0.029507614,0.000131152,0.01198851
227,0.004694485,0.000242534,0.023237425,0.012895651,0.019864272,0.002795876,4.21E-06,0.00482828
228,0.015317778,0.001142974,0.002801536,0.030459487,0.001106713,0.034833126,0.037789528,0.003459515
229,0.044614989,0.037725959,0.10365635,0.017852673,0.111704256,0.011044186,0.037992952,0.052832872
230,0.019540577,0.01948714,0.082957423,0.046376905,0.050468503,0.026232723,0.021286781,0.006318913
231,0.000709623,0.090172285,0.001530064,0.124902737,0.005515917,0.117627435,0.000562274,0.172862752
232,0.005657681,0.038556615,0.094501175,0.106205124,0.120911568,0.150933055,0.026720821,0.022493979
233,0.001002396,0.16765188,0.008681235,0.190593452,0.030518274,0.030464284,0.01282556,0.236238715
234,0.000103077,0.005070808,0.004091809,0.039308058,0.005858274,0.061971836,0.011700017,0.000992619
235,0.042722317,0.227718485,0.078397102,0.098252768,0.136800304,0.017729422,0.049879114,0.092309921
236,0.002945732,0.015064184,0.004120052,0.012702808,0.007369121,0.000336162,3.48E-05,0.000496747
237,0.035994779,0.030728274,0.00137913,0.124158276,0.062477366,0.125593498,0.019529076,0.016852377
238,0.163812762,0.010843485,0.074477826,0.00366852,0.084327661,0.002395859,0.162939652,0.01292298
239,0.004779697,0.051576999,0.022980457,0.037888064,0.121772047,0.03286203,0.018987996,0.07007165
240,0.019059357,0.086627154,0.048056573,0.108362037,0.038402818,0.019026577,0.042120766,0.066959782
241,0.015042383,0.118080381,0.071616438,0.03300191,0.194912022,1.74E-05,0.018878032,0.079484027
242,0.027601501,0.005399495,0.107330336,0.002645839,0.111351616,0.003720841,0.038599582,0.003975628
243,0.005432504,0.048530572,0.000570092,0.079912354,0.000552306,0.033673161,0.022251547,0.04992646
244,0.018363127,0.014055529,0.080809091,0.005776046,0.126016842,0.000920728,0.035879844,0.000922247
245,0.015505847,0.066734354,0.004355831,0.155251717,0.007535998,0.148029278,0.009723687,0.232186002
246,0.08923166,0.027066981,0.06896245,0.005112425,0.01901743,0.050495682,0.103262133,0.00871612
247,0.098931274,0.001112424,0.004966462,0.010410613,0.13042512,0.007204762,0.099084418,1.96E-05
