...1,subject_id,Group,timepoint,frequency_band,measure,value
13,RS_039_deltas,1,24H,Delta,O,-0.103183359
13,RS_039_deltas,1,24H,Delta,S,-0.368209353
13,RS_039_deltas,1,24H,Delta,TC,-0.062915166
13,RS_039_deltas,1,24H,Gamma,DTC,0.202140908
13,RS_039_deltas,1,24H,Gamma,O,-0.197211334
13,RS_039_deltas,1,24H,Gamma,S,0.282642576
13,RS_039_deltas,1,24H,Gamma,TC,0.019911895
13,RS_039_deltas,1,24H,Theta,DTC,-0.117864263
13,RS_039_deltas,1,24H,Theta,O,-0.088717406
13,RS_039_deltas,1,24H,Theta,S,0.095451151
13,RS_039_deltas,1,24H,Theta,TC,0.012104443
13,RS_039_deltas,1,24H,Wholeband,DTC,-0.357754871
13,RS_039_deltas,1,24H,Wholeband,O,0.113623613
13,RS_039_deltas,1,24H,Wholeband,S,0.086364949
13,RS_039_deltas,1,24H,Wholeband,TC,0.044885303
14,RS_040_deltas,1,24H,Alpha,DTC,-1.174539431
14,RS_040_deltas,1,24H,Alpha,O,0.264997669
14,RS_040_deltas,1,24H,Alpha,S,0.610953623
14,RS_040_deltas,1,24H,Alpha,TC,0.381140348
14,RS_040_deltas,1,24H,Beta,DTC,-1.014115788
14,RS_040_deltas,1,24H,Beta,O,-0.089525922
14,RS_040_deltas,1,24H,Beta,S,0.177824035
14,RS_040_deltas,1,24H,Beta,TC,0.099947207
14,RS_040_deltas,1,24H,Delta,DTC,-0.440148595
14,RS_040_deltas,1,24H,Delta,O,0.083913388
14,RS_040_deltas,1,24H,Delta,S,-1.442701669
14,RS_040_deltas,1,24H,Delta,TC,-0.514573781
14,RS_040_deltas,1,24H,Gamma,DTC,-0.712055959
14,RS_040_deltas,1,24H,Gamma,O,0.093331159
14,RS_040_deltas,1,24H,Gamma,S,-0.946594469
14,RS_040_deltas,1,24H,Gamma,TC,0.137591244
14,RS_040_deltas,1,24H,Theta,DTC,-0.913685417
14,RS_040_deltas,1,24H,Theta,O,0.341008344
14,RS_040_deltas,1,24H,Theta,S,0.50665609
14,RS_040_deltas,1,24H,Theta,TC,0.365067079
14,RS_040_deltas,1,24H,Wholeband,DTC,-0.663761393
14,RS_040_deltas,1,24H,Wholeband,O,0.220143037
14,RS_040_deltas,1,24H,Wholeband,S,0.422150773
14,RS_040_deltas,1,24H,Wholeband,TC,0.256416749
15,RS_043_deltas,1,24H,Alpha,DTC,0.085705941
15,RS_043_deltas,1,24H,Alpha,O,0.280627477
15,RS_043_deltas,1,24H,Alpha,S,-0.006282036
15,RS_043_deltas,1,24H,Alpha,TC,0.048996882
15,RS_043_deltas,1,24H,Beta,DTC,0.352021213
15,RS_043_deltas,1,24H,Beta,O,0.136852633
15,RS_043_deltas,1,24H,Beta,S,-0.123293214
15,RS_043_deltas,1,24H,Beta,TC,-0.022873318
15,RS_043_deltas,1,24H,Delta,DTC,0.152297409
15,RS_043_deltas,1,24H,Delta,O,0.002007888
15,RS_043_deltas,1,24H,Delta,S,0.372520868
15,RS_043_deltas,1,24H,Delta,TC,0.225804662
15,RS_043_deltas,1,24H,Gamma,DTC,0.998753672
15,RS_043_deltas,1,24H,Gamma,O,0.105409042
15,RS_043_deltas,1,24H,Gamma,S,2.470265369
15,RS_043_deltas,1,24H,Gamma,TC,0.022214729
15,RS_043_deltas,1,24H,Theta,DTC,2.62465e-4
15,RS_043_deltas,1,24H,Theta,O,0.033125817
15,RS_043_deltas,1,24H,Theta,S,-0.67588436
15,RS_043_deltas,1,24H,Theta,TC,-0.308366558
15,RS_043_deltas,1,24H,Wholeband,DTC,-0.080508327
15,RS_043_deltas,1,24H,Wholeband,O,0.103032589
15,RS_043_deltas,1,24H,Wholeband,S,0.003371496
15,RS_043_deltas,1,24H,Wholeband,TC,0.044788705
16,RS_044_deltas,1,24H,Alpha,DTC,-0.863816808
16,RS_044_deltas,1,24H,Alpha,O,0.021647611
16,RS_044_deltas,1,24H,Alpha,S,0.297748589
16,RS_044_deltas,1,24H,Alpha,TC,0.095528222
16,RS_044_deltas,1,24H,Beta,DTC,-1.207608123
16,RS_044_deltas,1,24H,Beta,O,0.274647332
16,RS_044_deltas,1,24H,Beta,S,0.558160344
16,RS_044_deltas,1,24H,Beta,TC,0.249455757
16,RS_044_deltas,1,24H,Delta,DTC,-0.54858241
16,RS_044_deltas,1,24H,Delta,O,-0.19341638
16,RS_044_deltas,1,24H,Delta,S,-1.281468382
16,RS_044_deltas,1,24H,Delta,TC,-0.127225403
16,RS_044_deltas,1,24H,Gamma,DTC,-0.008012473
16,RS_044_deltas,1,24H,Gamma,O,0.7922619
16,RS_044_deltas,1,24H,Gamma,S,1.901766202
16,RS_044_deltas,1,24H,Gamma,TC,0.07816612
16,RS_044_deltas,1,24H,Theta,DTC,-1.346211775
16,RS_044_deltas,1,24H,Theta,O,-0.121691771
16,RS_044_deltas,1,24H,Theta,S,-0.617658283
16,RS_044_deltas,1,24H,Theta,TC,-0.371197446
16,RS_044_deltas,1,24H,Wholeband,DTC,-0.593492629
16,RS_044_deltas,1,24H,Wholeband,O,0.01765017
16,RS_044_deltas,1,24H,Wholeband,S,0.081240532
16,RS_044_deltas,1,24H,Wholeband,TC,0.014343846
17,RS_046_deltas,1,24H,Alpha,DTC,-0.306969344
17,RS_046_deltas,1,24H,Alpha,O,-0.132011812
17,RS_046_deltas,1,24H,Alpha,S,-0.791545596
17,RS_046_deltas,1,24H,Alpha,TC,-0.450886028
17,RS_046_deltas,1,24H,Beta,DTC,1.222705038
17,RS_046_deltas,1,24H,Beta,O,-0.141929023
17,RS_046_deltas,1,24H,Beta,S,-0.564488363
17,RS_046_deltas,1,24H,Beta,TC,-0.317504482
17,RS_046_deltas,1,24H,Delta,DTC,0.444497537
17,RS_046_deltas,1,24H,Delta,O,-0.03130604
17,RS_046_deltas,1,24H,Delta,S,1.579790488
17,RS_046_deltas,1,24H,Delta,TC,0.594518721
17,RS_046_deltas,1,24H,Gamma,DTC,0.418543853
17,RS_046_deltas,1,24H,Gamma,O,-0.265871855
17,RS_046_deltas,1,24H,Gamma,S,0.100051498
17,RS_046_deltas,1,24H,Gamma,TC,-0.206045044
17,RS_046_deltas,1,24H,Theta,DTC,0.063688827
17,RS_046_deltas,1,24H,Theta,O,0.070250959
17,RS_046_deltas,1,24H,Theta,S,-0.472823823
17,RS_046_deltas,1,24H,Theta,TC,-0.269487917
17,RS_046_deltas,1,24H,Wholeband,DTC,0.253165161
17,RS_046_deltas,1,24H,Wholeband,O,-0.004991134
17,RS_046_deltas,1,24H,Wholeband,S,-0.529257623
17,RS_046_deltas,1,24H,Wholeband,TC,-0.294002757
18,RS_004_deltas,0,24H,Alpha,DTC,-0.783106914
18,RS_004_deltas,0,24H,Alpha,O,-0.02467763
18,RS_004_deltas,0,24H,Alpha,S,-1.440885193
18,RS_004_deltas,0,24H,Alpha,TC,-0.881981807
18,RS_004_deltas,0,24H,Beta,DTC,-1.136463132
18,RS_004_deltas,0,24H,Beta,O,0.134319117
18,RS_004_deltas,0,24H,Beta,S,-0.865072418
